code,product_name,nutrition_grades,brands,categories,energy-kcal_100g,sugars_100g,salt_100g,fat_100g
10596045,,unknown,,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Seeds, Vegetables based foods, Pumpkin and Squash plant products, Sunflower seeds and their products, Pumpkins and their products, Sunflower seeds, Pumpkins",,,,
5942219115845,"Apă minerală naturală, natural carbogazoasă",a,Borsec,"ro:a, en:natural-mineral-waters",0.0,0.0,0.0,0.0
4056489814788,high protein mango,a,Pilos,"Mliječni proizvodi, Fermentirana hrana, Fermentirani mliječni proizvodi, Deserti, Mliječne slastice, Fermentirani mliječni deserti, Jogurti, fr:Fromages blancs",51.0,4.0,0.1,0.2
6111245341422,,unknown,,en:cheeses,,,,
3504105036058,,unknown,,,,,,
4084500526792,,not-applicable,,Non food products,,,,
6111271590504,,unknown,Wedo,healthy,,,,
11044204,Schoko Reis Waffeln,d,Alnatura,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Getreideprodukte, Frühstückscerealien, Müslis, Gepuffte Getreidewaffeln, Gepuffte Reiswaffeln",486.0,23.0,0.01,24.0
20065355,Pur jus citron bio,b,Solevita,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus de citron",28.0,1.7,0.01,0.5
20071943,Früchte Hafer-Müsli,c,"Crownfield,Lidl,Brüggen","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",341.0,24.7,0.01,4.0
20093716,Palets Bretons au beurre,e,Sondey,"Snacks,Zoete snacks,Koekjes en cakes,Koekjes,Zandkoekjes,fr:Palets,fr:Palets-palet",505.0,23.0,1.15,25.9
20358228,Fast Action Dried Yeast,not-applicable,Belbake,"Food additives, Baker's yeast, Yeast, Bakers yeast",,,,
3019081238728,Sardines huile d olive vierge,d,Parmentier,"Produits de la mer,Poissons et dérivés,Conserves,Poissons,Poissons gras,Poissons en conserve,Sardines,Sardines en conserve,Sardines à l'huile,Sardines à l'huile d'olive",227.0,0.0,1.21,15.0
3033710072927,"NESCAFÉ NES, Café Soluble, Boîte de 25 Sticks (2g chacun)",unknown,Nestlé,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons chaudes,Préparations pour boissons,Cafés,Boissons instantanées,Dosettes,Cafés solubles,Cafés en dosettes,en:Freeze-dried instant coffees",118.0,3.1,0.3,0.2
3068111301246,Farine de blé complète - T150,a,Francine,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Farines de blé,Farines de froment,en:Whole wheat flours,Farines de blé type T150",337.0,2.0,0.0,2.2
3088540504292,Miel de fleurs Crémeux Pot Plastique 500g,unknown,Lune de miel,"Breakfasts,Spreads,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Flower honeys,fr:Miels crémeux",,,,
3088542506256,Sirop d'agave,d,Sunny Bio,"Édulcorants, Sirops, Sirops simples, Sirops d'agave, Sirops traditionnels",320.0,79.0,2.5e-05,0.5
3124480186898,"Schweppes agrumes aux saveurs d'orange,🍊de pamplemousse, de citron vert & de mandarine",e,SchweppesOrangina Schweppes,"Boissons, Boissons gazeuses, Sodas",24.0,5.7,0.01,0.0
3155250006238,Matière grasse laitière à tartiner,d,Bridelight,"Produits laitiers, Matières grasses, Produits à tartiner, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, en:dairy-spread",157.0,1.9,0.8,15.0
3174780000363,Original COCA-COLA,e,Coca cola,"Boissons et préparations de boissons,Boissons,Boissons gazeuses,Sodas,Sodas au cola,Boissons avec sucre ajouté",42.0,10.6,0.0,0.0
3175681854482,Fraise,a,Gerblé,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Petit-déjeuners, Produits à tartiner, Fruits et produits dérivés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges, Confitures diététiques, Confitures de fraises",76.0,3.2,0.03,0.0
3229820134642,Soja cuisine fluide,b,"Bjorg, Bjorg Veggie","Plant-based foods and beverages,Plant-based foods,Dairy substitutes,Plant-based creams,Plant-based creams for cooking,Soy-based creams for cooking",175.0,1.9,0.1,16.0
3229820789835,Galette céréales et légumes du soleil,b,Bjorg,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Alternatives à la viande, Substituts de viande, Galettes végétariennes, Galettes de céréales aux légumes",140.0,2.3,0.675,5.8
3278692111145,Yaourt nature,a,Malo,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Yaourts natures,YAOURTS & FROMAGES BLANCS",53.0,6.7,0.16,1.0
3302741970107,Parmentier de Poisson à la Ciboulette,c,Fleury Michon,"Produits de la mer,Plats préparés,en:Specific products,Frais,en:Products for specific diets,Gratins,Plats préparés au poisson,Produits sans gluten,Plats préparés frais,Plats à base de pommes de terre,Gratins de poisson,Plats préparés à réchauffer au micro-ondes,Brandade aux pommes de terre",121.0,1.7,0.63,5.4
3302748427024,Le Filet de Poulet et ses Pommes de Terre à la Sarladaise,b,Fleury Michon,"Viandes et dérivés, Plats préparés, Plats préparés à la viande, Plats à la volaille, Plats au poulet, Plats préparés à réchauffer au micro-ondes",157.0,0.9,0.73,6.5
3366321052355,St hubert bio 490 g doux sans huile de palme,d,"St Hubert, St hubert bio, St hubert bio & vegetal","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées",495.0,0.0,0.45,55.0
